World Rank,Institution Name,Location,Score,Domain
45,Weizmann Institute of Science,Israel,84.9,weizmann.ac.il
46,Heidelberg University,Germany,84.8,uni-heidelberg.de
47,"University of Maryland, College Park",USA,84.7,umd.edu
48,Ludwig Maximilian University of Munich,Germany,84.6,uni-muenchen.de
49,Karolinska Institute,Sweden,84.5,ki.se
50,University of Colorado Boulder,USA,84.4,colorado.edu
51,University of Southern California,USA,84.4,usc.edu
52,University of Arizona,USA,84.3,arizona.edu
53,Osaka University,Japan,84.2,osaka-u.ac.jp
54,University of Paris-Sud,France,84.1,u-psud.fr
55,University of Geneva,Switzerland,84.0,unige.ch
56,Boston University,USA,84.0,bu.edu
57,University of Melbourne,Australia,83.9,unimelb.edu.au
58,Brown University,USA,83.8,brown.edu
59,"University of California, Irvine",USA,83.8,uci.edu
60,Seoul National University,South Korea,83.7,snu.ac.kr
61,Hebrew University of Jerusalem,Israel,83.6,huji.ac.il
62,University of Florida,USA,83.6,ufl.edu
63,"Purdue University, West Lafayette",USA,83.5,purdue.edu
64,Vanderbilt University,USA,83.4,vanderbilt.edu
65,University of Bristol,United Kingdom,83.4,bristol.ac.uk
66,University of Texas Southwestern Medical Center,USA,83.3,utsouthwestern.edu
67,Sapienza University of Rome,Italy,83.2,uniroma1.it
68,King's College London,United Kingdom,83.2,kcl.ac.uk
69,University of Zurich,Switzerland,83.1,uzh.ch
70,"University of California, Santa Barbara",USA,83.0,ucsb.edu
71,University of Sydney,Australia,83.0,sydney.edu.au
72,Utrecht University,Netherlands,82.9,uu.nl
73,University of Pittsburgh,USA,82.9,pitt.edu
74,University of Queensland,Australia,82.8,uq.edu.au
75,University of Oslo,Norway,82.8,uio.no
76,Rockefeller University,USA,82.7,rockefeller.edu
77,University of São Paulo,Brazil,82.6,usp.br
78,"Texas A&M University, College Station",USA,82.6,tamu.edu
79,University of Virginia,USA,82.5,virginia.edu
80,Emory University,USA,82.5,emory.edu
81,Free University of Berlin,Germany,82.4,fu-berlin.de
82,Australian National University,Australia,82.4,anu.edu.au
83,University of Utah,USA,82.3,utah.edu
84,Paris Diderot University,France,82.3,univ-paris-diderot.fr
85,Tel Aviv University,Israel,82.2,tau.ac.il
86,Uppsala University,Sweden,82.2,uu.se
87,University of Barcelona,Spain,82.1,ub.edu
88,Aarhus University,Denmark,82.1,au.dk
89,University of Texas MD Anderson Cancer Center,USA,82.0,mdanderson.org
90,Leiden University,Netherlands,82.0,universiteitleiden.nl
91,Carnegie Mellon University,USA,81.9,cmu.edu
92,Peking University,China,81.9,pku.edu.cn
93,University of Helsinki,Finland,81.8,helsinki.fi
94,Baylor College of Medicine,USA,81.8,bcm.edu
95,Lund University,Sweden,81.7,lu.se
96,University of Alberta,Canada,81.7,ualberta.ca
97,Grenoble Alpes University,France,81.7,univ-grenoble-alpes.fr
98,Tsinghua University,China,81.6,tsinghua.edu.cn
99,University of Basel,Switzerland,81.6,unibas.ch
100,University of Groningen,Netherlands,81.5,rug.nl
101,Humboldt University of Berlin,Germany,81.5,hu-berlin.de
102,École Polytechnique Fédérale de Lausanne,Switzerland,81.4,epfl.ch
103,National University of Singapore,Singapore,81.4,nus.edu.sg
104,Ghent University,Belgium,81.3,ugent.be
105,University of Rochester,USA,81.3,rochester.edu
106,Erasmus University Rotterdam,Netherlands,81.3,eur.nl
107,KU Leuven,Belgium,81.2,kuleuven.be
108,University of Bern,Switzerland,81.2,unibe.ch
109,National Taiwan University,Taiwan,81.1,ntu.edu.tw
110,University of Montreal,Canada,81.1,umontreal.ca
111,"University of California, Santa Cruz",USA,81.1,ucsc.edu
112,Technical University of Munich,Germany,81.0,tum.de
